id,name,neighbourhood,facilities,latitude,longitude,fetched_at
726,,,[],49.283550695584424,-123.14150996594101,2026-06-07T23:58:00.136259
727,,,[],49.23704482400866,-123.03688201338858,2026-06-07T23:58:00.136259
728,,,[],49.25710409057022,-123.07235700114158,2026-06-07T23:58:00.136259
729,,,[],49.26493798928152,-123.08349740620415,2026-06-07T23:58:00.136259
730,,,[],49.260776498032044,-123.07647043883033,2026-06-07T23:58:00.136259
731,,,[],49.244122329985174,-123.02893685737968,2026-06-07T23:58:00.136259
732,,,[],49.28617984625474,-123.04538320426653,2026-06-07T23:58:00.136259
733,,,[],49.29102364009017,-123.05056674149047,2026-06-07T23:58:00.136259
734,,,[],49.24769352924712,-123.06647889902392,2026-06-07T23:58:00.136259
735,,,[],49.25555645572367,-123.17890059897258,2026-06-07T23:58:00.136259
736,,,[],49.21024780335246,-123.11951375283157,2026-06-07T23:58:00.136259
737,,,[],49.28546882304755,-123.14218138881026,2026-06-07T23:58:00.136259
738,,,[],49.2766436601484,-123.12409417280017,2026-06-07T23:58:00.136259
739,,,[],49.24069738239653,-123.15607824625415,2026-06-07T23:58:00.136259
740,,,[],49.26636131638954,-123.20431179678592,2026-06-07T23:58:00.136259
741,,,[],49.27169124363484,-123.06668021170476,2026-06-07T23:58:00.136259
742,,,[],49.22773928258131,-123.11945534559902,2026-06-07T23:58:00.136259
743,,,[],49.27021207034864,-123.16945997597458,2026-06-07T23:58:00.136259
744,,,[],49.277684867810066,-123.13658281586449,2026-06-07T23:58:00.136259
745,,,[],49.24375038874359,-123.04765885569115,2026-06-07T23:58:00.136259
746,,,[],49.21726674556697,-123.08235633886575,2026-06-07T23:58:00.136259
747,,,[],49.252049335833206,-123.04293019018573,2026-06-07T23:58:00.136259
748,,,[],49.20054824923337,-123.13742480446807,2026-06-07T23:58:00.136259
749,,,[],49.2571322786168,-123.10625151855595,2026-06-07T23:58:00.136259
750,,,[],49.23123608171696,-123.13047111539488,2026-06-07T23:58:00.136259
751,,,[],49.2247953592834,-123.11155372406716,2026-06-07T23:58:00.136259
752,,,[],49.2640014751542,-123.09593728259703,2026-06-07T23:58:00.136259
753,,,[],49.24097990356942,-123.08505467156093,2026-06-07T23:58:00.136259
754,,,[],49.21262825570026,-123.09432649392568,2026-06-07T23:58:00.136259
755,,,[],49.26816049828741,-123.05901422987473,2026-06-07T23:58:00.136259
756,,,[],49.21536907307322,-123.06727219877742,2026-06-07T23:58:00.136259
757,,,[],49.23403895126828,-123.02871672492113,2026-06-07T23:58:00.136259
758,,,[],49.285546252632024,-123.06204563660081,2026-06-07T23:58:00.136259
759,,,[],49.208088044220084,-123.15089043654795,2026-06-07T23:58:00.136259
760,,,[],49.2715283042007,-123.14602862328918,2026-06-07T23:58:00.136259
761,,,[],49.27264912711199,-123.2060459604727,2026-06-07T23:58:00.136259
762,,,[],49.271798110979006,-123.19767179216774,2026-06-07T23:58:00.136259
763,,,[],49.26225893738126,-123.1552719086687,2026-06-07T23:58:00.136259
